player_id,player_name,Brisbane,Hong Kong,Adelaide,Auckland,Australian Open,Montpellier,Cordoba,Dallas,Marseille,Buenos Aires,Delray Beach,Rotterdam,Rio De Janeiro,Acapulco,Dubai,Santiago,Indian Wells Masters,Miami Masters,Estoril,Houston,Marrakech,Monte Carlo Masters,Barcelona,Bucharest,Munich,Madrid Masters,Rome Masters,Geneva,Lyon,Roland Garros,'s-Hertogenbosch,Stuttgart,Halle,Queen's Club,Mallorca,Eastbourne,Wimbledon,Bastad,Gstaad,Hamburg,Newport,Atlanta,Kitzbuhel,Umag,Washington,Canada Masters,Cincinnati Masters,Winston-Salem,US Open,Chengdu,Hangzhou,Tokyo,Beijing,Shanghai Masters,Almaty,Antwerp,Stockholm,Basel,Vienna,Paris Masters,Belgrade,Metz,ATP Finals,total_points_earned
R975,Milos Raonic,,,,,10 - R128,,,,,,,100 - QF,,,,,30 - R64,,,,,,,,,,,,,,50 - QF,,,50 - R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240
N409,Rafael Nadal,50 - QF,,,,,,,,,,,,,,,,,,,,,,25 - R32,,,100 - R16,30 - R64,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
N0BG,Luca Nardi,,,,,,,,,,,,,,,,,100 - R16,,,,,10 - R64,,0 - R32,,,30 - R64,,,10 - R128,25 - R16,,,,0 - R32,,10 - R128,,,,,,,,0 - R64,,,,10 - R128,,0 - R32,,,10 - R128,,,,,,,,,,205
MC10,Andy Murray,0 - R32,,,,10 - R128,0 - R32,,,0 - R32,,,,,,50 - R16,,30 - R64,50 - R32,,,,,,,,,,0 - R32,,10 - R128,,0 - R32,,50 - R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
C0DF,Francisco Comesana,,,,,,,0 - R32,,,,,,0 - R32,,,0 - R32,,,,,,,,,,,,,,,,,,,,,100 - R32,,,0 - R32,,,,,,,,0 - R64,100 - R32,,,,,,,,,,,,,,,200
N897,Sumit Nagal,,,,,50 - R64,,,,,,,,,,0 - R32,,10 - R128,,,,25 - R16,50 - R32,,,,,,0 - R32,,10 - R128,,,,,,,10 - R128,,,,,,25 - R16,,,,,0 - R64,10 - R128,,,,,10 - R128,,,0 - R32,,,,,0 - R32,,200
B0GG,Mattia Bellucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,,,,,,10 - R128,,,,,50 - QF,,,25 - R32,,,,50 - R64,,25 - R16,0 - R32,,30 - R64,,,,,,,,,,200
BF23,Facundo Bagnis,,,,,,,165 - F,,,,,,,,,0 - R32,,,,,,,,,,30 - R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
MW18,Nicolas Moreno De Alboran,,,,,,,,0 - R32,,,25 - R16,,,,,,10 - R128,,,,50 - QF,,,,,,10 - R128,25 - R16,,10 - R128,,,,,,,,,0 - R32,,,,50 - QF,,,,,,,,,,,,,,,,,,,,,180
O522,Reilly Opelka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - SF,25 - R16,,,25 - R32,,10 - R64,0 - R64,10 - R128,,,0 - R32,,10 - R128,,,,,,,,,,180
F0FV,Joao Fonseca,,,,,,,,,,,,,100 - QF,,,0 - R32,,,0 - R32,,,,,50 - QF,,30 - R64,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180
MN13,Maximilian Marterer,,,,,10 - R128,0 - R32,,,0 - R32,,,,,,0 - R32,,,,0 - R32,,,,,,0 - R32,,10 - R128,,,50 - R64,,,,,0 - R32,,10 - R128,,,50 - R16,,,,,,,,,10 - R128,,0 - R32,,,,25 - R16,,,,,,,,,165
MK66,Mackenzie McDonald,,0 - R32,0 - R32,,10 - R128,,,,,,,,,,,,,,,,,,,,,,10 - R128,,0 - R32,10 - R128,25 - R16,,,,,,10 - R128,,,,50 - QF,25 - R16,,,0 - R64,10 - R64,,,10 - R128,,,,,,,,,,,,,,,160
G628,Richard Gasquet,,,,0 - R32,10 - R128,0 - R32,,,0 - R32,,,,,,,,,,50 - QF,,,,,,,10 - R128,,,0 - R32,50 - R64,,0 - R16,,,,,,,0 - R32,,,,,,,,,,,,,,,,,0 - R32,,,,10 - R64,,25 - R16,,155
BK24,Gregoire Barrere,,,,,10 - R128,25 - R16,,,0 - R32,,,,,,,,,,,,,,,100 - SF,,,10 - R128,,,10 - R128,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,0 - R32,,155
HD68,Billy Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - QF,,,10 - R128,,,,25 - R16,0 - R32,,,,,,,,,,,,10 - R128,,,,,,,,,,145
W09E,Adam Walton,,,0 - R32,,10 - R128,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,10 - R128,,,,,25 - R16,,50 - R64,,,,,25 - R16,,,0 - R64,,,0 - R64,10 - R128,0 - R32,,,,,,,,,,,,,,140
V0AM,Otto Virtanen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,,,,,,50 - R64,,,,,,,,,,,,50 - R64,,,,,,25 - R16,,,,,,,,,135
M0G4,Harold Mayot,,,,,,50 - QF,,,,,,,,,,,,10 - R128,,,,,25 - R32,,,,10 - R128,,,10 - R128,,,,,,,,,,,0 - R32,25 - R16,,,0 - R64,,,,,,,,,,,,,,,,,0 - R32,,130
PF39,Lucas Pouille,,,,,,0 - R32,,,,,,,,,,,30 - R64,,0 - R32,,,,,,,,,,,,,,,,,,100 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,130
R772,Albert Ramos-Vinolas,,,,,10 - R128,,25 - R16,,,,,,50 - R16,,,25 - R16,,,,,0 - R32,,0 - R64,,,10 - R128,,,,,,,,,,,,,0 - R32,,,,,,,,,,10 - R128,,,,,,,,,,,,,,,130
MP01,Michael Mmoh,,,,,,50 - QF,,25 - R16,,,,,,0 - R32,,,,,,50 - QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
TA29,Marco Trungelliti,,,,,,,,,,,,,,,,,,,,,,,50 - R16,,,,,,,,,,,,,,,,,50 - R16,,,,25 - R16,,,,,,,0 - R32,,,,,,,,,,,,,125
S0LA,Dominic Stricker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,0 - R32,,,,,,,,,0 - R32,10 - R128,,,,,,,,50 - QF,50 - R16,,,,,,120
LB66,Constant Lestienne,,,,,10 - R128,25 - R16,,0 - R32,,,25 - R16,,,,,,30 - R64,,,,,,,,,,,,,10 - R128,,,,,0 - R32,,10 - R128,,,,0 - R32,,,,,,,0 - R64,10 - R128,,,,,,,,,,,,,,,120
Z0A1,Giulio Zeppieri,,,,,50 - R64,,,,0 - R32,,,,,,,,,,,,,,,,,,10 - R128,,,50 - R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
J0A4,Paul Jubb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - SF,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,110
KF17,Soonwoo Kwon,,,,,10 - R128,,,,,,,,,,,,,30 - R64,,,,,,,,,,,,50 - R64,,,,,,,10 - R128,,,0 - R32,,,,,,,,,10 - R128,,,,,,,,,,,,,,,110
KC56,Aslan Karatsev,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,30 - R64,0 - R32,,10 - R128,,,,,,,10 - R128,,,,,25 - R16,,,0 - R64,,,,,,0 - R32,,,,25 - R16,,,,,,,,,110
CG04,Pedro Cachin,,0 - R32,,,10 - R128,,0 - R32,,,0 - R32,,,0 - R32,,,0 - R32,10 - R128,10 - R128,0 - R32,,,,0 - R64,,,50 - R32,10 - R128,,0 - R32,10 - R128,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,100
K0E6,Alibek Kachmazov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - SF,,,,,,,,,,,,,,100
A0GC,Terence Atmane,,,,,10 - R128,,,0 - R32,,,,,,0 - R32,,,,,,,,,,,,,50 - R32,,,10 - R128,,,,,,,,,,,,,,,,,,,,0 - R32,,,,30 - R64,,,,,,,,,,100
KC04,Jozef Kovalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
D0C1,Jesper de Jong,,,,,50 - R64,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,50 - R64,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,0 - R16,,100
A829,Radu Albot,,,,,,,,0 - R32,,,25 - R16,,,,,,,,,,,,,25 - R16,,,,,,,,,,,,,10 - R128,,,,0 - R32,,,,25 - R32,,,,10 - R128,,,,,,,,,,,,,,,95
K0A3,Patrick Kypson,,,,,10 - R128,,,,,,50 - QF,,,,,,30 - R64,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
S0K7,Zachary Svajda,,,,,,,,0 - R32,,,25 - R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - R32,0 - R32,,,0 - R64,,,25 - R16,10 - R128,,0 - R32,,,30 - R64,,,,,,,,,,90
W09G,J.J. Wolf,0 - R32,,,0 - R32,10 - R128,,,,,,,,,,,,10 - R128,,,25 - R16,,,,,,,10 - R128,,,10 - R128,,,,,,,,,,,,0 - R32,,,25 - R32,,,,,,,,,,,,,,,,,,,90
VA08,Andrea Vavassori,,,,,,,,,,50 - QF,,,,,,,,30 - R64,,,,,0 - R32,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
BI81,Alex Bolt,,,25 - R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,,,50 - QF,,,,,,,,,,,,,,,,,,,,,,,85
T0A1,Thiago Agustin Tirante,,,,,,,25 - R16,,,,,,,,,25 - R16,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,,25 - R16,,,,,,,,,,,,,,0 - R32,,,,,,,85
L0CX,Pablo Llamas Ruiz,,,,,,25 - R16,,,,,,,,,,,,,50 - QF,,,,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
KC12,Mitchell Krueger,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 - R32,,,,50 - R64,,0 - R16,,,,,,,,,,,,,75
F0BY,Jacob Fearnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R64,,,,,,,,,,,,,,,,,,,,25 - R16,,,,,,,75
HH06,Marc-Andrea Huesler,,25 - R16,,,,,,,,,,,,,,,,,,,,,,,50 - QF,,,,,,0 - R32,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,0 - R32,,,,,,,75
BS86,Tomas Barrios Vera,,,,,,,0 - R32,,,,,,50 - R16,,,25 - R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
GF95,Hugo Grenier,,,,,50 - R64,,,,0 - R32,,,,,,,,10 - R128,,,,,,0 - R64,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,,,,70
